frequency,V(p001),V(vin),V(vout),I(C1),I(L1),I(R1),I(V1)
(100+0j),(0.008616770172701797-0.06517399479340918j),(0.5+0j),(0.008599656204636432-0.06496891649335416j),(0.00982800687590754+0.0012993783298671177j),(0.009828006875907421+0.0012993783298671097j),(0.009828006875907272+0.0012993783298670834j),(-0.009828006875907272-0.0012993783298670834j)
(109.99099909991+0j),(0.00713917925445479-0.05943210933370515j),(0.5+0j),(0.007122031607552703-0.059206112762510116j),(0.009857559367849303+0.0011841222552502473j),(0.009857559367849059+0.0011841222552502622j),(0.009857559367848946+0.0011841222552502024j),(-0.009857559367848948-0.0011841222552502026j)
(119.98199819981998+0j),(0.0060091315221205786-0.054608067615500556j),(0.5-6.938893903907228e-18j),(0.00599196407825181-0.05436118490293723j),(0.009880160718434812+0.0010872236980587016j),(0.009880160718435095+0.0010872236980587488j),(0.009880160718434963+0.0010872236980587445j),(-0.009880160718434963-0.0010872236980587447j)
(129.97299729972997+0j),(0.005125929220886162-0.05050048214810922j),(0.5+0j),(0.005108752337181689-0.050232738374966106j),(0.00989782495325664+0.0010046547674993635j),(0.009897824953256612+0.0010046547674993377j),(0.009897824953256367+0.0010046547674993221j),(-0.009897824953256366-0.0010046547674993221j)
(139.96399639963997+0j),(0.004422771562167715-0.04696225555067277j),(0.5+6.938893903907228e-18j),(0.0044055932575200315-0.04667367064908004j),(0.009911888134849473+0.0009334734129815838j),(0.009911888134849558+0.0009334734129815735j),(0.0099118881348496+0.0009334734129816009j),(-0.0099118881348496-0.0009334734129816008j)
(149.95499549954997+0j),(0.0038539629149292923-0.04388362613454398j),(0.49999999999999994-6.938893903907228e-18j),(0.0038367896087393646-0.043574216194840275j),(0.00992326420782528+0.0008714843238968188j),(0.009923264207825404+0.0008714843238968241j),(0.009923264207825213+0.0008714843238968054j),(-0.009923264207825213-0.0008714843238968056j)
(159.94599459945994+0j),(0.003387405812193836-0.04118112957584464j),(0.5+0j),(0.0033702428003496605-0.04085090776706775j),(0.009932595143993046+0.000817018155341365j),(0.009932595143992907+0.0008170181553413497j),(0.009932595143993007+0.000817018155341355j),(-0.009932595143993007-0.0008170181553413548j)
(169.93699369936994+0j),(0.0030000281152464075-0.038790225397387475j),(0.5-6.938893903907228e-18j),(0.002982879886037889-0.038439202629668524j),(0.009940342402279284+0.0007687840525933716j),(0.009940342402279303+0.0007687840525933732j),(0.009940342402279242+0.0007687840525933704j),(-0.009940342402279242-0.0007687840525933705j)
(179.92799279927993+0j),(0.002674905570116934-0.03666025508471204j),(0.49999999999999994+0j),(0.0026577760194311886-0.036288440495187965j),(0.009946844479611111+0.0007257688099037304j),(0.009946844479611515+0.0007257688099037576j),(0.009946844479611375+0.0007257688099037593j),(-0.009946844479611376-0.0007257688099037594j)
(189.91899189918993+0j),(0.0023993987921921847-0.03475092077679497j),(0.5+0j),(0.002382291373497426-0.034358322092264026j),(0.009952354172530027+0.0006871664418452795j),(0.009952354172529944+0.0006871664418452869j),(0.009952354172530051+0.0006871664418452805j),(-0.009952354172530053-0.0006871664418452806j)
(199.90999099909993+0j),(0.002163916205075021-0.033029778343869755j),(0.5000000000000001+0j),(0.0021468340361034213-0.0326164021556968j),(0.009957063319277844+0.0006523280431139295j),(0.009957063319277917+0.0006523280431139397j),(0.009957063319277934+0.000652328043113936j),(-0.009957063319277934-0.0006523280431139359j)
(209.9009900990099+0j),(0.001961073929344539-0.03147042133884129j),(0.5-3.469446951953614e-18j),(0.0019440198693685372-0.03103627331429576j),(0.009961119602612721+0.0006207254662859205j),(0.009961119602612522+0.00062072546628591j),(0.009961119602612629+0.0006207254662859151j),(-0.009961119602612629-0.0006207254662859151j)
(219.8919891989199+0j),(0.001785113622565668-0.030051144472902146j),(0.49999999999999994+0j),(0.001768090329296852-0.029596229519713378j),(0.009964638193414047+0.0005919245903942675j),(0.009964638193413951+0.0005919245903942614j),(0.009964638193414062+0.0005919245903942676j),(-0.009964638193414064-0.0005919245903942676j)
(229.8829882988299+0j),(0.0016314916656728093-0.0287539457271461j),(0.5-3.469446951953614e-18j),(0.0016145016377810248-0.028278268123129436j),(0.009967709967244345+0.000565565362462587j),(0.0099677099672444+0.0005655653624625918j),(0.00996770996724438+0.0005655653624625887j),(-0.00996770996724438-0.0005655653624625888j)
(239.87398739873987+0j),(0.001496584448175885-0.027563771423194612j),(0.49999999999999994+3.469446951953614e-18j),(0.0014796300574923995-0.027067334919452637j),(0.009970407398850044+0.0005413466983890466j),(0.009970407398850098+0.0005413466983890501j),(0.009970407398850151+0.0005413466983890528j),(-0.009970407398850151-0.0005413466983890529j)
(249.86498649864987+0j),(0.0013774737478795087-0.026467938160020764j),(0.5+0j),(0.0013605572640877867-0.025950746063910443j),(0.009972788854718211+0.0005190149212782093j),(0.00997278885471828+0.0005190149212782098j),(0.009972788854718244+0.0005190149212782088j),(-0.009972788854718246-0.0005190149212782089j)
(259.85598559855987+0j),(0.0012717882813708574-0.025455685236730086j),(0.5+0j),(0.0012549118911511078-0.02491774047916336j),(0.009974901762177017+0.0004983548095832687j),(0.00997490176217695+0.0004983548095832653j),(0.009974901762176977+0.0004983548095832672j),(-0.009974901762176979-0.0004983548095832673j)
(269.8469846984699+0j),(0.001177585244209497-0.024517824538220014j),(0.5+0j),(0.00116075106623675-0.023959129728709228j),(0.009976784978675388+0.0004791825945741937j),(0.00997678497867523+0.00047918259457418506j),(0.009976784978675265+0.00047918259457418457j),(-0.009976784978675265-0.0004791825945741845j)
(279.83798379837987+0j),(0.0010932607171158263-0.02364646405305642j),(0.5000000000000001+0j),(0.0010764708139219482-0.023067021525082047j),(0.009978470583721592+0.0004613404305016418j),(0.009978470583721546+0.00046134043050164244j),(0.009978470583721564+0.000461340430501641j),(-0.009978470583721564-0.000461340430501641j)
(289.82898289828984+0j),(0.0010174811758216298-0.022834787611023828j),(0.49999999999999994+0j),(0.001000737563259962-0.022234599459692306j),(0.009979985248734922+0.0004446919891938527j),(0.00997998524873481+0.0004446919891938503j),(0.0099799852487348+0.0004446919891938461j),(-0.0099799852487348-0.0004446919891938462j)
(299.81998199819986+0j),(0.0009491306124861837-0.02207687796931467j),(0.5+0j),(0.0009324352673452703-0.021455946082823682j),(0.009981351294653105+0.0004291189216564734j),(0.009981351294653145+0.000429118921656478j),(0.009981351294653095+0.00042911892165647367j),(-0.009981351294653095-0.0004291189216564737j)
(309.81098109810983+0j),(0.0008872693327934905-0.02136757363030936j),(0.5+3.469446951953614e-18j),(0.0008706241989685697-0.020725899716401312j),(0.009982587516020693+0.0004145179943280285j),(0.009982587516020658+0.00041451799432802887j),(0.009982587516020628+0.0004145179943280263j),(-0.00998258751602063-0.0004145179943280263j)
(319.8019801980198+0j),(0.0008311015743631087-0.020702352132608j),(0.5000000000000001+0j),(0.0008145085678941501-0.020039937740938284j),(0.009983709828642143+0.00040079875481876674j),(0.009983709828642105+0.0004007987548187658j),(0.009983709828642119+0.00040079875481876566j),(-0.009983709828642119-0.00040079875481876566j)
(329.79297929792983+0j),(0.0007799498534039749-0.020077234285496046j),(0.5000000000000001-3.469446951953614e-18j),(0.0007634108666157665-0.019394080826649226j),(0.009984731782667646+0.00038788161653298316j),(0.009984731782667703+0.0003878816165329847j),(0.009984731782667688+0.00038788161653298446j),(-0.009984731782667686-0.0003878816165329845j)
(339.7839783978398+0j),(0.0007332344888453133-0.019488705096629713j),(0.5+0j),(0.0007167513937708294-0.018784813858367947j),(0.009985664972124605+0.00037569627716735977j),(0.009985664972124584+0.00037569627716735755j),(0.009985664972124584+0.00037569627716735896j),(-0.009985664972124584-0.00037569627716735896j)
(349.7749774977498+0j),(0.000690457143816076-0.018933648099149773j),(0.5+3.469446951953614e-18j),(0.0006740317950437457-0.018209020260362446j),(0.009986519364099092+0.0003641804052072475j),(0.00998651936409911+0.0003641804052072485j),(0.009986519364099125+0.000364180405207249j),(-0.009986519364099125-0.0003641804052072489j)
(359.7659765976598+0j),(0.0006511875086777569-0.018409290505721765j),(0.49999999999999994+0j),(0.0006348217457325958-0.01766392714845536j),(0.009987303565085362+0.0003532785429691079j),(0.009987303565085334+0.0003532785429691065j),(0.009987303565085348+0.0003532785429691072j),(-0.009987303565085348-0.00035327854296910723j)
(369.75697569756977+0j),(0.000615052458807838-0.017913157165577044j),(0.5+0j),(0.0005987481081530688-0.01714705928545335j),(0.009988025037836943+0.000342941185709067j),(0.009988025037836964+0.00034294118570906676j),(0.009988025037836938+0.00034294118570906703j),(-0.009988025037836941-0.0003429411857090671j)
(379.74797479747974+0j),(0.0005817271753674659-0.017443031721213212j),(0.49999999999999994+0j),(0.0005654860520953374-0.016656200236487926j),(0.009988690278958066+0.00033312400472975756j),(0.00998869027895809+0.000333124004729758j),(0.009988690278958092+0.00033312400472975854j),(-0.009988690278958094-0.0003331240047297586j)
(389.73897389738977+0j),(0.0005509278332954373-0.016996923686270596j),(0.5+0j),(0.0005347517425621003-0.016189359445739498j),(0.009989304965148781+0.0003237871889147903j),(0.009989304965148773+0.0003237871889147896j),(0.009989304965148757+0.00032378718891479j),(-0.00998930496514876-0.00032378718891479003j)
(399.72997299729974+0j),(0.0005224055482906621-0.0165730404188406j),(0.5+0j),(0.0005062962865391713-0.015744744208764747j),(0.009989874074269196+0.0003148948841752936j),(0.009989874074269213+0.00031489488417529377j),(0.009989874074269217+0.00031489488417529496j),(-0.009989874074269217-0.000314894884175295j)
(409.72097209720977+0j),(0.0004959413410839331-0.016169763162410263j),(0.5+0j),(0.0004799006970909809-0.015320735712602522j),(0.009990401986058207+0.0003064147142520519j),(0.009990401986058184+0.0003064147142520519j),(0.00999040198605818+0.00030641471425205043j),(-0.00999040198605818-0.00030641471425205043j)
(419.71197119711974+0j),(0.0004713419282583301-0.015785626482673048j),(0.5+0j),(0.0004553716840336487-0.014915868471864857j),(0.009990892566319364+0.0002983173694372989j),(0.009990892566319324+0.0002983173694372971j),(0.009990892566319328+0.00029831736943729714j),(-0.009990892566319328-0.00029831736943729714j)
(429.7029702970297+0j),(0.00044843618817673036-0.015419300552184502j),(0.5+0j),(0.0004325381197387872-0.014528812612772533j),(0.009991349237605243+0.00029057625225545087j),(0.009991349237605213+0.0002905762522554499j),(0.009991349237605224+0.00029057625225545065j),(-0.009991349237605225-0.0002905762522554507j)
(439.69396939693974+0j),(0.0004270721810808987-0.015069575833534646j),(0.5+1.734723475976807e-18j),(0.0004112480591282874-0.014158358555791338j),(0.009991775038817444+0.0002831671711158277j),(0.009991775038817425+0.0002831671711158269j),(0.009991775038817435+0.00028316717111582677j),(-0.009991775038817437-0.0002831671711158268j)
(449.6849684968497+0j),(0.00040711462625709277-0.01473534979087433j),(0.49999999999999994+0j),(0.0003913662167516173-0.013803403726693279j),(0.009992172675664981+0.0002760680745338662j),(0.009992172675664972+0.0002760680745338658j),(0.009992172675664967+0.0002760680745338656j),(-0.009992172675664967-0.0002760680745338656j)
(459.67596759675973+0j),(0.00038844275788916605-0.014415615323454855j),(0.49999999999999994+0j),(0.00037277182256387225-0.013462940989691346j),(0.009992544563548745+0.0002692588197938274j),(0.00999254456354874+0.0002692588197938269j),(0.00999254456354872+0.00026925881979382693j),(-0.009992544563548722-0.000269258819793827j)
(469.6669666966697+0j),(0.00037094849601904107-0.01410945066655542j),(0.5+1.734723475976807e-18j),(0.00035535679282222636-0.013136048548013455j),(0.009992892864143546+0.0002627209709602691j),(0.009992892864143565+0.00026272097096026914j),(0.009992892864143555+0.00026272097096026914j),(-0.009992892864143557-0.00026272097096026914j)
(479.6579657965797+0j),(0.0003545348807934886-0.013816010547277635j),(0.49999999999999994+1.734723475976807e-18j),(0.000339024164277905-0.012821881099387386j),(0.009993219516714457+0.00025643762198774813j),(0.009993219516714455+0.000256437621987748j),(0.009993219516714441+0.00025643762198774775j),(-0.009993219516714441-0.00025643762198774775j)
(489.6489648964897+0j),(0.0003391147275678841-0.013534518417121784j),(0.5+1.734723475976807e-18j),(0.0003236867492328666-0.012519662068345164j),(0.009993526265015339+0.00025039324136690315j),(0.009993526265015346+0.0002503932413669035j),(0.009993526265015342+0.0002503932413669033j),(-0.009993526265015344-0.0002503932413669033j)
(499.6399639963997+0j),(0.0003246094679761329-0.01326425961155027j),(0.5+0j),(0.0003092659765691604-0.012228676765547066j),(0.00999381468046861+0.0002445735353109413j),(0.009993814680468597+0.00024457353531094124j),(0.009993814680468617+0.00024457353531094134j),(-0.009993814680468617-0.00024457353531094134j)
(509.63096309630964+0j),(0.0003109481481552204-0.013004575310075393j),(0.5+1.734723475976807e-18j),(0.00029569088993841233-0.011948266347657981j),(0.009994086182201206+0.00023896532695315872j),(0.00999408618220122+0.000238965326953159j),(0.009994086182201233+0.00023896532695315967j),(-0.009994086182201234-0.0002389653269531597j)
(519.6219621962197+0j),(0.00029806656023807294-0.012754857189738187j),(0.49999999999999994+0j),(0.0002828972792242845-0.011677822470639108j),(0.009994342054415505+0.00023355644941278194j),(0.009994342054415508+0.00023355644941278165j),(0.009994342054415514+0.00023355644941278216j),(-0.009994342054415515-0.0002335564494127822j)
(529.6129612961297+0j),(0.00028590648723556027-0.012514542680910876j),(0.5+0j),(0.00027082692539804714-0.011416782545384347j),(0.009994583461492035+0.00022833565090768694j),(0.009994583461492035+0.00022833565090768705j),(0.009994583461492039+0.00022833565090768696j),(-0.00999458346149204-0.00022833565090768696j)
(539.6039603960396+0j),(0.0002744150447027356-0.012283110747765854j),(0.5+0j),(0.0002594269421617745-0.011164625518041578j),(0.009994811461156758+0.00022329251036083136j),(0.009994811461156774+0.00022329251036083182j),(0.009994811461156765+0.00022329251036083155j),(-0.009994811461156765-0.00022329251036083155j)
(549.5949594959496+0j),(0.00026354410527017127-0.012060078126981793j),(0.5+0j),(0.0002486492004595368-0.010920868108587119j),(0.00999502701599079+0.0002184173621717417j),(0.009995027015990799+0.0002184173621717422j),(0.00999502701599081+0.00021841736217174238j),(-0.00999502701599081-0.00021841736217174238j)
(559.5859585958597+0j),(0.0002532497943330822-0.011844995967694203j),(0.49999999999999994+1.734723475976807e-18j),(0.00023844982414887188-0.010685061450658662j),(0.009995231003517029+0.0002137012290131734j),(0.009995231003517025+0.00021370122901317312j),(0.009995231003517022+0.00021370122901317329j),(-0.009995231003517022-0.0002137012290131733j)
(569.5769576957696+0j),(0.0002434920470190158-0.011637446823652352j),(0.5+1.734723475976807e-18j),(0.00022878874695296726-0.01045678808360693j),(0.009995424225060957+0.00020913576167213923j),(0.009995424225060936+0.0002091357616721386j),(0.009995424225060941+0.00020913576167213863j),(-0.009995424225060943-0.00020913576167213863j)
(579.5679567956796+0j),(0.00023423421807133816-0.011437041955273364j),(0.5+0j),(0.0002196293223304913-0.010235659254455314j),(0.009995607413553405+0.0002047131850891065j),(0.009995607413553393+0.0002047131850891064j),(0.00999560741355339+0.0002047131850891063j),(-0.009995607413553391-0.00020471318508910632j)
(589.5589558955896+0j),(0.0002254427375478678-0.011243418904990926j),(0.5-1.734723475976807e-18j),(0.00021093797916217494-0.010021312493163726j),(0.009995781240416756+0.00020042624986327446j),(0.009995781240416762+0.00020042624986327452j),(0.009995781240416756+0.0002004262498632745j),(-0.009995781240416756-0.00020042624986327452j)
(599.5499549954995+0j),(0.00021708680628807235-0.011056239314153003j),(0.5+0j),(0.00020268391720734886-0.009813409429449893j),(0.009995946321655848+0.00019626818858899773j),(0.009995946321655865+0.00019626818858899808j),(0.009995946321655853+0.00019626818858899786j),(-0.009995946321655853-0.00019626818858899784j)
(609.5409540954096+0j),(0.00020913812598528922-0.010875186953866172j),(0.5+0j),(0.00019483883716671607-0.009611633823564765j),(0.009996103223256683+0.00019223267647129573j),(0.009996103223256678+0.0001922326764712955j),(0.009996103223256666+0.0001922326764712953j),(-0.009996103223256666-0.0001922326764712953j)
(619.5319531953196+0j),(0.0002015706594424787-0.010699965945729493j),(0.5+0j),(0.0001873767009297132-0.009415689786964106j),(0.009996252465981396+0.0001883137957392817j),(0.00999625246598141+0.00018831379573928215j),(0.009996252465981405+0.00018831379573928212j),(-0.009996252465981407-0.00018831379573928218j)
(629.5229522952295+0j),(0.00019436041721550368-0.010530299151442428j),(0.5+1.734723475976807e-18j),(0.00018027351821032155-0.009225300171860044j),(0.009996394529635784+0.00018450600343720083j),(0.009996394529635784+0.00018450600343720093j),(0.009996394529635794+0.0001845060034372009j),(-0.009996394529635794-0.00018450600343720088j)
(639.5139513951395+0j),(0.00018748526737654694-0.01036592671288577j),(0.5+0j),(0.00017350715630382613-0.009040205111250893j),(0.009996529856873925+0.00018080410222501788j),(0.009996529856873928+0.00018080410222501793j),(0.009996529856873923+0.00018080410222501785j),(-0.009996529856873925-0.00018080410222501788j)
